keyword,frequency,year
Computer Animation,0,2007
Computer Animation,0,2008
Computer Animation,0,2009
Computer Animation,0,2010
Computer Animation,0,2011
Computer Animation,0,2012
Computer Animation,0,2013
Computer Animation,0,2014
Computer Animation,0,2015
Computer Displays,0,1990
Computer Displays,0,1991
Computer Displays,0,1992
Computer Displays,0,1993
Computer Displays,0,1994
Computer Displays,0,1995
Computer Displays,0,1996
Computer Displays,0,1997
Computer Displays,0,1998
Computer Displays,0,1999
Computer Displays,0,2000
Computer Displays,0,2001
Computer Displays,0,2002
Computer Displays,6,2003
Computer Displays,0,2004
Computer Displays,0,2005
Computer Displays,0,2006
Computer Displays,0,2007
Computer Displays,0,2008
Computer Displays,0,2009
Computer Displays,0,2010
Computer Displays,0,2011
Computer Displays,0,2012
Computer Displays,0,2013
Computer Displays,0,2014
Computer Displays,0,2015
Computer Graphics,0,1990
Computer Graphics,0,1991
Computer Graphics,0,1992
Computer Graphics,0,1993
Computer Graphics,0,1994
Computer Graphics,0,1995
Computer Graphics,0,1996
Computer Graphics,0,1997
Computer Graphics,0,1998
Computer Graphics,0,1999
Computer Graphics,0,2000
Computer Graphics,0,2001
Computer Graphics,11,2002
Computer Graphics,0,2003
Computer Graphics,0,2004
Computer Graphics,0,2005
Computer Graphics,0,2006
Computer Graphics,0,2007
Computer Graphics,0,2008
Computer Graphics,0,2009
Computer Graphics,0,2010
Computer Graphics,0,2011
Computer Graphics,0,2012
Computer Graphics,0,2013
Computer Graphics,0,2014
Computer Graphics,0,2015
Context,0,1990
Context,0,1991
Context,0,1992
Context,0,1993
Context,0,1994
Context,0,1995
Context,0,1996
Context,0,1997
Context,0,1998
Context,0,1999
Context,0,2000
Context,0,2001
Context,0,2002
Context,0,2003
Context,0,2004
Context,0,2005
Context,4,2006
Context,2,2007
Context,0,2008
Context,0,2009
Context,18,2010
Context,4,2011
Context,0,2012
Context,0,2013
Context,2,2014
Context,17,2015
Convection,0,1990
Convection,0,1991
Convection,0,1992
Convection,2,1993
Convection,0,1994
Convection,0,1995
Convection,0,1996
Convection,0,1997
Convection,0,1998
Convection,0,1999
Convection,0,2000
Convection,0,2001
Convection,0,2002
Convection,0,2003
Convection,0,2004
Convection,0,2005
Convection,0,2006
Convection,0,2007
Convection,0,2008
Convection,0,2009
Convection,0,2010
Convection,0,2011
Convection,0,2012
Convection,0,2013
Convection,0,2014
Convection,0,2015
Convolution,0,1990
Convolution,0,1991
Convolution,0,1992
Convolution,0,1993
Convolution,0,1994
Convolution,0,1995
Convolution,0,1996
Convolution,3,1997
Convolution,0,1998
Convolution,2,1999
Convolution,0,2000
Convolution,0,2001
Convolution,0,2002
Convolution,0,2003
Convolution,0,2004
Convolution,0,2005
Convolution,0,2006
Convolution,0,2007
Convolution,0,2008
Convolution,0,2009
Convolution,0,2010
Convolution,0,2011
Convolution,0,2012
Convolution,0,2013
Convolution,0,2014
Convolution,0,2015
Correlation,0,1990
Correlation,0,1991
Correlation,0,1992
Correlation,0,1993
Correlation,0,1994
Correlation,0,1995
Correlation,0,1996
Correlation,0,1997
Correlation,0,1998
Correlation,0,1999
Correlation,0,2000
Correlation,0,2001
Correlation,0,2002
Correlation,0,2003
Correlation,0,2004
Correlation,0,2005
Correlation,0,2006
Correlation,0,2007
Correlation,0,2008
Correlation,0,2009
Correlation,0,2010
Correlation,0,2011
Correlation,0,2012
Correlation,0,2013
Correlation,2,2014
Correlation,14,2015
Data Analysis,0,1990
Data Analysis,0,1991
Data Analysis,4,1992
Data Analysis,3,1993
Data Analysis,3,1994
